question_id,paper_id,question,gold_answer,predicted_answer,retrieved_chunk_ids,retrieved_section_names,f1,idk,proxy_faithfulness,experiment,condition,exact_match,retrieved_chunk_ids_parsed,gold_evidence_flat,ecs
27275fe9f6a9004639f9ac33c3a5767fea388a98,2003.11645,What hyperparameters are explored?,"Dimension size, window size, architecture, algorithm, epochs, hidden dimension size, learning rate, loss function, optimizer algorithm.","Dimension size, training epochs, window size, and vocabulary size.","['2003.11645_1_3', '2003.11645_0_0', '2003.11645_4_0']","['Literature Review', 'Introduction', 'Conclusion']",0.0,False,1.0,exp4_chunksize,256,,"['2003.11645_1_3', '2003.11645_0_0', '2003.11645_4_0']","['To form the vocabulary, words occurring less than 5 times in the corpora were dropped, stop words removed using the natural language toolkit (NLTK) (BIBREF22) and data pre-processing carried out. Table TABREF2 describes most hyper-parameters explored for each dataset. In all, 80 runs (of about 160 minutes) were conducted for the 15MB Wiki Abstract dataset with 80 serialized models totaling 15.136GB while 80 runs (for over 320 hours) were conducted for the 711MB SW dataset, with 80 serialized models totaling over 145GB. Experiments for all combinations for 300 dimensions were conducted on the 3.9GB training set of the BW corpus and additional runs for other dimensions for the window 8 + skipgram + heirarchical softmax combination to verify the trend of quality of word vectors as dimensions are increased.', 'FLOAT SELECTED: Table 2: Network hyper-parameters', 'FLOAT SELECTED: Table 1: Hyper-parameter choices']",0.0
10f560fe8e1c0c7dea5e308ee4cec16d07874f1d,1901.03859,How does nextsum work?,"selects the next summary sentence based not only on properties of the source text, but also on the previously selected sentences in the summary","NextSum creates summaries by adding one sentence at a time. At each timestep, it scores a set of candidate sentences from the source and finds the best next sentence to follow the partial summary. The model ranks topics in order of decreasing importance and adds one sentence from the source for each topic until the length limit is reached.","['1901.03859_3_3', '1901.03859_3_0', '1901.03859_4_2']","['Predicting the next summary sentence', 'Predicting the next summary sentence', 'Summary generation']",0.0333333333333333,False,0.8864,exp4_chunksize,256,,"['1901.03859_3_3', '1901.03859_3_0', '1901.03859_4_2']","[""This work proposes an extractive summarization system that focuses on capturing rich summary-internal structure. Our key idea is that since summaries in a domain often follow some predictable structure, a partial summary or set of summary sentences should help predict other summary sentences. We formalize this intuition in a model called NextSum, which selects the next summary sentence based not only on properties of the source text, but also on the previously selected sentences in the summary. An example choice is shown in Table 1 . This setup allows our model to capture summary-specific discourse and topic transitions. For example, it can learn to expand on a topic that is already mentioned in the summary, or to introduce a new topic. It can learn to follow a script or discourse relations that are expected for that domain's summaries. It can even learn to predict the end of the summary, avoiding the need to explicitly define a length cutoff.""]",0.0
12159f04e0427fe33fa05af6ba8c950f1a5ce5ea,1705.01265,Which hyperparameters were varied in the experiments on the four tasks?,"number of clusters, seed value in clustering, selection of word vectors, window size and dimension of embedding",I don't know,"['1705.01265_3_2', '1705.01265_4_0', '1705.01265_5_1']","['Named-Entity Recognition in Twitter', 'Fine-grained Sentiment Analysis', 'Fine-Grained Sentiment Quantification']",0.5,True,0.0,exp4_chunksize,256,,"['1705.01265_3_2', '1705.01265_4_0', '1705.01265_5_1']","['FLOAT SELECTED: Table 5: Earth Movers Distance for fine-grained sentiment quantification across different types of word embeddings and number of clusters. The score in brackets denotes the best performance achieved in the challenge.', 'FLOAT SELECTED: Table 2: Results in terms of F1-score for named entities classification for the different word clusters across different number of clusters.', 'Note, also, that using the clusters produced by the out-of-domain embeddings trained on wikipedia that were released as part of BIBREF8 performs surprisingly well. One might have expected their addition to hurt the performance. However, their value probably stems from the sheer amount of data used for their training as well as the relatively simple type of words (like awesome, terrible) which are discriminative for this task. Lastly, note that in each of the settings, the best results are achieved when the number of clusters is within INLINEFORM0 as in the NER tasks. Comparing the performance across the different embeddings, one cannot claim that a particular embedding performs better. It is evident though that augmenting the feature space with feature derived using the proposed method, preferably with in-domain data, helps the classification performance and reduces MAE INLINEFORM1 .', 'FLOAT SELECTED: Table 1: Scores on F1-measure for named entities segmentation for the different word embeddings across different number of clusters. For each embedding type, we show its dimension and window size. For instance, glove40,w5 is 40-dimensional glove embeddings with window size 5.', 'We cluster the embeddings with INLINEFORM0 -Means. The k-means clusters are initialized using “k-means++” as proposed in BIBREF9 , while the algorithm is run for 300 iterations. We try different values for INLINEFORM1 . For each INLINEFORM2 , we repeat the clustering experiment with different seed initialization for 10 times and we select the clustering result that minimizes the cluster inertia.', 'FLOAT SELECTED: Table 3: MAEM scores (lower is better) for sentiment classification across different types of word embeddings and number of clusters.', 'Tables TABREF6 and TABREF7 present the results for the different number of clusters across the three vector models used to induce the clusters. For all the experiments we keep the same parametrization for the learning algorithm and we present the performance of each run on the official test set.']",0.2857
efe49829725cfe54de01405c76149a4fe4d18747,1901.03866,How much does HAS-QA improve over baselines?,"For example, in QuasarT, it improves 16.8% in EM score and 20.4% in F1 score.  For example, in QuasarT, it improves 4.6% in EM score and 3.5% in F1 score.","In QuasarT, HAS-QA improves 16.8% in EM score and 20.4% in F1 score over traditional RC baselines.","['1901.03866_10_0', '1901.03866_11_0', '1901.03866_11_1']","['Overall Results', 'Model Analysis', 'Model Analysis']",0.0,False,0.8571,exp4_chunksize,256,,"['1901.03866_10_0', '1901.03866_11_0', '1901.03866_11_1']","['FLOAT SELECTED: Table 2: Experimental results on OpenQA datasets QuasarT, TriviaQA and SearchQA. EM: Exact Match.', '1) HAS-QA outperforms traditional RC baselines with a large gap, such as GA, BiDAF, AQA listed in the first part. For example, in QuasarT, it improves 16.8% in EM score and 20.4% in F1 score. As RC task is just a special case of OpenQA task. Some experiments on standard SQuAD dataset(dev-set) BIBREF9 show that HAS-QA yields EM/F1:0.719/0.798, which is comparable with the best released single model Reinforced Mnemonic Reader BIBREF25 in the leaderboard (dev-set) EM/F1:0.721/0.816. Our performance is slightly worse because Reinforced Mnemonic Reader directly use the accurate answer span, while we use multiple distantly supervised answer spans. That may introduce noises in the setting of SQuAD, since only one span is accurate.', '2) HAS-QA outperforms recent OpenQA baselines, such as DrQA, R ${}^3$ and Shared-Norm listed in the second part. For example, in QuasarT, it improves 4.6% in EM score and 3.5% in F1 score.']",1.0
22c36082b00f677e054f0f0395ed685808965a02,1910.10408,Do they conduct any human evaluation?,yes,Yes.,"['1910.10408_15_0', '1910.10408_9_0', '1910.10408_15_1']","['Results ::: Human Evaluation and Analysis', 'Experiments ::: Data and Settings', 'Results ::: Human Evaluation and Analysis']",0.0,False,0.0,exp4_chunksize,256,,"['1910.10408_15_0', '1910.10408_9_0', '1910.10408_15_1']","['We investigate both methods, either in isolation or combined, on two translation directions (En-It and En-De) for which the length of the target is on average longer than the length of the source. Our ultimate goal is to generate translations whose length is not longer than that of the source string (see example in Table FIGREF1). While generating translations that are just a few words shorter might appear as a simple task, it actually implies good control of the target language. As the reported examples show, the network has to implicitly apply strategies such as choosing shorter rephrasing, avoiding redundant adverbs and adjectives, using different verb tenses, etc. We report MT performance results under two training data conditions, small and large, which show limited degradation in BLEU score and n-gram precision as we vary the target length ratio of our models. We also run a manual evaluation which shows for the En-It task a slight quality degradation in exchange of a statistically significant reduction in the average length ratio, from 1.05 to 1.01.']",0.0
7efbe48e84894971d7cd307faf5f6dae9d38da31,2001.07263,How big is Switchboard-300 database?,300-hour English conversational speech,300 hours.,"['2001.07263_7_0', '2001.07263_2_0', '2001.07263_8_0']","['Experimental results ::: Effect of beam size and number of parameters', 'Experimental setup', 'Experimental results ::: Experiments on Switchboard-2000']",0.0,False,0.0,exp4_chunksize,256,,"['2001.07263_7_0', '2001.07263_2_0', '2001.07263_8_0']","['This study focuses on Switchboard-300, a standard 300-hour English conversational speech recognition task. Our acoustic and text data preparation follows the Kaldi BIBREF29 s5c recipe. Our attention based seq2seq model is similar to BIBREF30, BIBREF31 and follows the structure of BIBREF32.']",1.0
59a5959a6abfb81b114e7bfaa945301349d20f0f,1704.00939,What is the source of their lexicon?,DepecheMood,DepecheMood BIBREF19.,"['1704.00939_4_0', '1704.00939_0_0', '1704.00939_6_0']","['Sentence representation and preprocessing', 'Introduction', 'Results']",0.0,False,0.5,exp4_chunksize,256,,"['1704.00939_4_0', '1704.00939_0_0', '1704.00939_6_0']","['Our contribution leverages pre-trained word embeddings (GloVe, trained on wikipedia+gigaword corpus), the DepecheMood affective lexicon, and convolutional neural networks.']",0.0
c2eb743c9d0baf1781c3c0df9533fab588250af3,1809.02279,Which models did they experiment with?,Stacked LSTMs Cell-aware Stacked LSTMs Sentence Encoders Top-layer Classifiers,"They experimented with the following models: 
(i) plain stacked LSTMs, 
(ii) models with different INLINEFORM0, 
(iii) models without INLINEFORM1, 
(iv) models that integrate lower contexts via peephole connections.","['1809.02279_4_1', '1809.02279_12_0', '1809.02279_11_0']","['Cell-aware Stacked LSTMs', 'Model Variations', 'Forget Gate Analysis']",0.0689655172413793,False,0.84,exp4_chunksize,256,,"['1809.02279_4_1', '1809.02279_12_0', '1809.02279_11_0']","['Stacked LSTMs', 'For the natural language inference experiments, we use the following heuristic function proposed by BIBREF36 in feature extraction: DISPLAYFORM0', 'Sentence Encoders', 'Now we extend the stacked LSTM formulation defined above to address the problem noted in the previous subsection. To enhance the interaction between layers in a way similar to how LSTMs keep and forget the information from the previous time step, we introduce the additional forget gate INLINEFORM0 that determines whether to accept or ignore the signals coming from the previous layer. Therefore the proposed Cell-aware Stacked LSTM is formulated as follows: DISPLAYFORM0 DISPLAYFORM1', 'The sentence encoder network we use in our experiments takes INLINEFORM0 words (assumed to be one-hot vectors) as input. The words are projected to corresponding word representations: INLINEFORM1 where INLINEFORM2 . Then INLINEFORM3 is fed to a INLINEFORM4 -layer CAS-LSTM model, resulting in the representations INLINEFORM5 . The sentence representation, INLINEFORM6 , is computed by max-pooling INLINEFORM7 over time as in the work of BIBREF35 . Similar to their results, from preliminary experiments we found that the max-pooling performs consistently better than mean- and last-pooling.', 'Cell-aware Stacked LSTMs', 'where INLINEFORM0 means vector concatenation, and INLINEFORM1 and INLINEFORM2 are applied element-wise.', 'Top-layer Classifiers']",0.5
ed6462da17c553bda112ef35917fefe6942fce3c,1909.09018,What are all machine learning approaches compared in this work?,Feature selection Random forest XGBoost Hierarchical Model,"Random Forest, XGBoost, LSTM, Bidirectional LSTM with embeddings, Multinomial Naive Bayes, Logistic Regression, K-Nearest Neighbour, Support Vector Machines (SVM).","['1909.09018_1_1', '1909.09018_18_0', '1909.09018_17_0']","['Related Work', 'Results and Analysis', 'Email classifier using machine learning ::: Threshold Selection']",0.0,False,0.7368,exp4_chunksize,256,,"['1909.09018_1_1', '1909.09018_18_0', '1909.09018_17_0']","['Random Forest is a bagging Algorithm, an ensemble learning method for classification that operates by constructing a multitude of decision trees at training time and outputting the class that has highest mean majority vote of the classesBIBREF14.', 'Email classifier using machine learning ::: Machine learning approach ::: Hierarchical Model', 'Since the number of target labels are high, achieving the higher accuracy is difficult, while keeping all the categories under same feature selection method. Some categories performs well with lower TF-IDF vectorizing range and higher n grams features even though they showed lower accuracy in the overall single model. Therefore, hierarchical machine learning models are built to classify 31 categories in the first classification model and remaining categories are named as low-accu and predicted as one category. In the next model, predicted low-accu categories are again classified into 47 categories. Comparatively this hierarchical model works well since various feature selection methods are used for various categoriesBIBREF5.', 'Ngrams are a continuous sequence of n items from a given sample of text. From title, body and OCR text words are selected. Ngrams of 3 nearby words are extracted with Term Frequency-Inverse Document Frequency (TF-IDF) vectorizing, then features are filtered using chi squared the feature scoring method.', 'Email classifier using machine learning ::: Machine learning approach ::: XGBoost', 'XGBoost is a decision-tree-based ensemble Machine Learning algorithm that uses a gradient boosting framework. It is used commonly in the classification problems involving unstructured dataBIBREF5.', 'Email classifier using machine learning ::: Machine learning approach ::: Feature selection', 'Email classifier using machine learning ::: Machine learning approach ::: Random forest']",0.5
7f5059b4b5e84b7705835887f02a51d4d016316a,1904.09545,Do they experiment with language modeling on large datasets?,no,I don't know.,"['1904.09545_0_0', '1904.09545_1_0', '1904.09545_2_1']","['Introduction', 'Background', 'Approach']",0.0,True,0.3333,exp4_chunksize,256,,"['1904.09545_0_0', '1904.09545_1_0', '1904.09545_2_1']",[],0.0
