question_id,paper_id,question,gold_answer,predicted_answer,retrieved_chunk_ids,retrieved_section_names,f1,idk,proxy_faithfulness,experiment,condition
27275fe9f6a9004639f9ac33c3a5767fea388a98,2003.11645,What hyperparameters are explored?,"Dimension size, window size, architecture, algorithm, epochs, hidden dimension size, learning rate, loss function, optimizer algorithm.","Dimension size, training epochs, window size, and vocabulary size.","['2003.11645_1_3', '2003.11645_0_0', '2003.11645_4_0']","['Literature Review', 'Introduction', 'Conclusion']",0.0,False,1.0,exp4_chunksize,256
10f560fe8e1c0c7dea5e308ee4cec16d07874f1d,1901.03859,How does nextsum work?,"selects the next summary sentence based not only on properties of the source text, but also on the previously selected sentences in the summary","NextSum creates summaries by adding one sentence at a time. At each timestep, it scores a set of candidate sentences from the source and finds the best next sentence to follow the partial summary. The model ranks topics in order of decreasing importance and adds one sentence from the source for each topic until the length limit is reached.","['1901.03859_3_3', '1901.03859_3_0', '1901.03859_4_2']","['Predicting the next summary sentence', 'Predicting the next summary sentence', 'Summary generation']",0.03333333333333333,False,0.8864,exp4_chunksize,256
12159f04e0427fe33fa05af6ba8c950f1a5ce5ea,1705.01265,Which hyperparameters were varied in the experiments on the four tasks?,"number of clusters, seed value in clustering, selection of word vectors, window size and dimension of embedding",I don't know,"['1705.01265_3_2', '1705.01265_4_0', '1705.01265_5_1']","['Named-Entity Recognition in Twitter', 'Fine-grained Sentiment Analysis', 'Fine-Grained Sentiment Quantification']",0.5,True,0.0,exp4_chunksize,256
efe49829725cfe54de01405c76149a4fe4d18747,1901.03866,How much does HAS-QA improve over baselines?,"For example, in QuasarT, it improves 16.8% in EM score and 20.4% in F1 score.  For example, in QuasarT, it improves 4.6% in EM score and 3.5% in F1 score.","In QuasarT, HAS-QA improves 16.8% in EM score and 20.4% in F1 score over traditional RC baselines.","['1901.03866_10_0', '1901.03866_11_0', '1901.03866_11_1']","['Overall Results', 'Model Analysis', 'Model Analysis']",0.0,False,0.8571,exp4_chunksize,256
22c36082b00f677e054f0f0395ed685808965a02,1910.10408,Do they conduct any human evaluation?,yes,Yes.,"['1910.10408_15_0', '1910.10408_9_0', '1910.10408_15_1']","['Results ::: Human Evaluation and Analysis', 'Experiments ::: Data and Settings', 'Results ::: Human Evaluation and Analysis']",0.0,False,0.0,exp4_chunksize,256
7efbe48e84894971d7cd307faf5f6dae9d38da31,2001.07263,How big is Switchboard-300 database?,300-hour English conversational speech,300 hours.,"['2001.07263_7_0', '2001.07263_2_0', '2001.07263_8_0']","['Experimental results ::: Effect of beam size and number of parameters', 'Experimental setup', 'Experimental results ::: Experiments on Switchboard-2000']",0.0,False,0.0,exp4_chunksize,256
59a5959a6abfb81b114e7bfaa945301349d20f0f,1704.00939,What is the source of their lexicon?,DepecheMood,DepecheMood BIBREF19.,"['1704.00939_4_0', '1704.00939_0_0', '1704.00939_6_0']","['Sentence representation and preprocessing', 'Introduction', 'Results']",0.0,False,0.5,exp4_chunksize,256
c2eb743c9d0baf1781c3c0df9533fab588250af3,1809.02279,Which models did they experiment with?,Stacked LSTMs Cell-aware Stacked LSTMs Sentence Encoders Top-layer Classifiers,"They experimented with the following models: 
(i) plain stacked LSTMs, 
(ii) models with different INLINEFORM0, 
(iii) models without INLINEFORM1, 
(iv) models that integrate lower contexts via peephole connections.","['1809.02279_4_1', '1809.02279_12_0', '1809.02279_11_0']","['Cell-aware Stacked LSTMs', 'Model Variations', 'Forget Gate Analysis']",0.0689655172413793,False,0.84,exp4_chunksize,256
ed6462da17c553bda112ef35917fefe6942fce3c,1909.09018,What are all machine learning approaches compared in this work?,Feature selection Random forest XGBoost Hierarchical Model,"Random Forest, XGBoost, LSTM, Bidirectional LSTM with embeddings, Multinomial Naive Bayes, Logistic Regression, K-Nearest Neighbour, Support Vector Machines (SVM).","['1909.09018_1_1', '1909.09018_18_0', '1909.09018_17_0']","['Related Work', 'Results and Analysis', 'Email classifier using machine learning ::: Threshold Selection']",0.0,False,0.7368,exp4_chunksize,256
7f5059b4b5e84b7705835887f02a51d4d016316a,1904.09545,Do they experiment with language modeling on large datasets?,no,I don't know.,"['1904.09545_0_0', '1904.09545_1_0', '1904.09545_2_1']","['Introduction', 'Background', 'Approach']",0.0,True,0.3333,exp4_chunksize,256
ba1da61db264599963e340010b777a1723ffeb4c,1612.04675,What does recurrent deep stacking network do?,Stacks and joins outputs of previous frames with inputs of the current frame,It stacks and concatenates the outputs of previous frames into the input features of the current frame.,"['1612.04675_5_0', '1612.04675_1_0', '1612.04675_3_0']","['Conclusion', 'Recurrent Deep Stacking Network', 'BiPass Stacking Network']",0.0,False,1.0,exp4_chunksize,256
cbbcafffda7107358fa5bf02409a01e17ee56bfd,2004.03061,Was any variation in results observed based on language typology?,It is observed some variability - but not significant. Bert does not seem to gain much more syntax information than with type level information.,"Yes, the results were analyzed on a typologically diverse set of languages (Basque, Czech, English, Finnish, Tamil, and Turkish).","['2004.03061_0_2', '2004.03061_17_0', '2004.03061_22_0']","['Introduction', 'A Critique of Control Tasks ::: What Low-Selectivity Means', 'Conclusion']",0.1,False,0.7368,exp4_chunksize,256
f9bf6bef946012dd42835bf0c547c0de9c1d229f,1912.01772,How is non-standard pronunciation identified?,Original transcription was labeled with additional labels in [] brackets with nonstandard pronunciation.,I don't know.,"['1912.01772_3_0', '1912.01772_2_0', '1912.01772_5_0']","['The Resource ::: Orthography', 'The Resource', 'The Resource ::: Cleaning']",0.5,True,0.0,exp4_chunksize,256
f641f561ad2ea2794a52e4e4bdd62e1f353ab797,2001.09215,What language is explored in this paper?,English language,I don't know.,"['2001.09215_1_0', '2001.09215_1_2', '2001.09215_0_0']","['Proposed Methodology', 'Proposed Methodology', 'Introduction']",0.5,True,0.0,exp4_chunksize,256
b8ffb81e74c1c1ad552051aca8741b0141ae6e97,1710.09753,What is the task of slot filling?,"The task aims at extracting information about persons, organizations or geo-political entities from a large collection of news, web and discussion forum documents.","The task of slot filling is to extract a specific piece of information (slot) from a document collection, given an exemplary occurrence of the entity and the slot to be filled.","['1710.09753_2_1', '1710.09753_1_0', '1710.09753_3_0']","['Slot filling task', 'Related work', 'Coreference resolution for slot filling']",0.0625,False,0.75,exp4_chunksize,256
d7644c674887ca9708eb12107acd964ae53b216d,2002.12612,What are the global network features which quantify different aspects of the sharing process?,Number of Strongly Connected Components (SCC) Size of the Largest Strongly Connected Component (LSCC) Number of Weakly Connected Components (WCC) Size of the Largest Weakly Connected Component (LWCC) Diameter of the Largest Weakly Connected Component (DWCC) Average Clustering Coefficient (CC) Main K-core Number (KC) Density (d),"LWCC (size of the largest cascade in the layer), SCC (size of the network), DWCC (depth of the largest cascade in the layer), CC (level of connectedness of neighboring users), and KC (set of most influential users).","['2002.12612_6_0', '2002.12612_4_1', '2002.12612_10_0']","['Methodology ::: Interpretation of network features and layers', 'Methodology ::: Building diffusion networks', 'Experiments ::: Feature importance analysis']",0.0,False,0.6522,exp4_chunksize,256
9d578ddccc27dd849244d632dd0f6bf27348ad81,1909.00694,What are the results?,"Using all data to train: AL -- BiGRU achieved 0.843 accuracy, AL -- BERT achieved 0.863 accuracy, AL+CA+CO -- BiGRU achieved 0.866 accuracy, AL+CA+CO -- BERT achieved 0.835, accuracy, ACP -- BiGRU achieved 0.919 accuracy, ACP -- BERT achived 0.933, accuracy, ACP+AL+CA+CO -- BiGRU achieved 0.917 accuracy, ACP+AL+CA+CO -- BERT achieved 0.913 accuracy. 
Using a subset to train: BERT achieved 0.876 accuracy using ACP (6K), BERT achieved 0.886 accuracy using ACP (6K) + AL, BiGRU achieved 0.830 accuracy using ACP (6K), BiGRU achieved 0.879 accuracy using ACP (6K) + AL + CA + CO.","I don't know. The results are mentioned in the context, but the specific results are shown in tables (TABREF19, TABREF24) which are not provided.","['1909.00694_12_0', '1909.00694_8_0', '1909.00694_14_1']","['Experiments ::: Dataset ::: ACP (ACP Corpus)', 'Proposed Method ::: Loss Functions', 'Experiments ::: Results and Discussion']",0.07999999999999999,True,0.2778,exp4_chunksize,256
66d743b735ba75589486e6af073e955b6bb9d2a4,1909.06762,What were the baseline systems?,Attn seq2seq Ptr-UNK KV Net Mem2Seq DSR,I don't know.,"['1909.06762_2_0', '1909.06762_13_0', '1909.06762_21_0']","['Definition ::: Dialogue History', 'Our Framework ::: Entity-Consistency Augmented Decoder ::: KB Column Selection', 'Results ::: The proportion of responses that can be supported by a single KB row']",0.0,True,0.0,exp4_chunksize,256
ebae0cd1fe0e7ba877d4b3055190e8b1dfcaeb53,1604.07236,What are the eight features mentioned?,User location (uloc) User language (ulang) Timezone (tz) Tweet language (tlang) Offset (offset) User name (name) User description (description) Tweet content (content),I don't know,"['1604.07236_9_1', '1604.07236_10_1', '1604.07236_9_0']","['Feature Combinations', 'Breakdown of Countries', 'Feature Combinations']",0.5,True,0.0,exp4_chunksize,256
cfb5ab893ed77f9df7eeb4940b6bacdef5acccea,1909.05360,Is this the first paper to propose a joint model for event and temporal relation extraction?,yes,"To the best of our knowledge, yes.","['1909.05360_1_1', '1909.05360_1_0', '1909.05360_0_0']","['Related Work', 'Related Work', 'Introduction']",0.0,False,0.8571,exp4_chunksize,256
8acab64ba72831633e8cc174d5469afecccf3ae9,1702.03856,what is the domain of the corpus?,unanswerable,Speech translation.,"['1702.03856_2_0', '1702.03856_0_1', '1702.03856_1_0']","['Dataset', 'Introduction', 'From unsupervised term discovery to direct speech-to-text translation']",0.0,False,1.0,exp4_chunksize,256
18ad60f97f53af64cb9db2123c0d8846c57bfa4a,1911.05960,What supports the claim that injected CNN into recurent units will enhance ability of the model to catch local context and reduce ambiguities?,"word embeddings to generate a new feature, i.e., summarizing a local context","The embedding-wise convolution operation, which applies a convolution filter to a window of k word embeddings to generate a new feature, summarizing a local context of k words.","['1911.05960_14_1', '1911.05960_5_0', '1911.05960_5_1']","['Experiments: Sentiment Classification ::: Results', 'Our approach ::: Contextual Recurrent Unit ::: Shallow Fusion', 'Our approach ::: Contextual Recurrent Unit ::: Shallow Fusion']",0.0689655172413793,False,0.9048,exp4_chunksize,256
19c9cfbc4f29104200393e848b7b9be41913a7ac,1908.06606,How many questions are in the dataset?,"2,714","2,714 question-answer pairs.","['1908.06606_11_0', '1908.06606_4_0', '1908.06606_16_0']","['Experimental Studies ::: Dataset and Evaluation Metrics', 'The Proposed Model for QA-CTS Task', 'Experimental Studies ::: Data Integration Analysis']",0.0,False,1.0,exp4_chunksize,256
30803eefd7cdeb721f47c9ca72a5b1d750b8e03b,1611.00514,How well does their system perform on the development set of SRE?,"EER 16.04, Cmindet 0.6012, Cdet 0.6107",The results show a relative improvement of almost 10% in terms of both INLINEFORM0 and INLINEFORM1 when fusing MFCC and PLP scores.,"['1611.00514_15_0', '1611.00514_16_0', '1611.00514_0_1']","['Results and Discussion', 'Time Analysis', 'Introduction']",0.0,False,0.75,exp4_chunksize,256
0a521541b9e2b5c6d64fb08eb318778eba8ac9f7,1810.09774,Which datasets were used?,"SNLI, MultiNLI and SICK","The datasets used were SNLI, MultiNLI, and SICK.","['1810.09774_3_0', '1810.09774_1_1', '1810.09774_0_2']","['Data', 'Related Work', 'Introduction']",0.0,False,0.875,exp4_chunksize,256
32e8eda2183bcafbd79b22f757f8f55895a0b7b2,1908.04531,How many categories of offensive language were there?,3,I don't know.,"['1908.04531_1_0', '1908.04531_0_0', '1908.04531_1_1']","['Background', 'Introduction', 'Background']",0.0,True,0.0,exp4_chunksize,256
5cb3d69607f60e1c5be2120462726a477ead9570,1909.00153,"Does adversarial learning have stronger performance gains for text classification, or for NER?",classification,I don't know.,"['1909.00153_5_0', '1909.00153_0_0', '1909.00153_4_2']","['MLDoc Classification Results', 'Introduction', 'Model Training']",0.5,True,0.0,exp4_chunksize,256
1f07e837574519f2b696f3d6fa3230af0b931e5d,1608.01084,Did they only experiment with one language pair?,yes,I don't know.,"['1608.01084_9_1', '1608.01084_3_3', '1608.01084_2_0']","['Data Set and Toolkits', 'Dependency Swap Features', 'Capturing Word Pair Ordering in Phrase-Based Beam Search']",0.0,True,0.0,exp4_chunksize,256
